book_id,name,category,author,publisher,discount,price,price_normal,point,description,review,img
11,제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다,Computer Science,유호석,2024.06.10,10%,"19,800원","정가22,000원","1,100p","ChatGPT 등장 이후 누구나 쉽게 고성능의 맞춤형 AI 챗봇을 만들 수 있는 시대가 되었다. 『제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다』는 100개 이상의 GPT를 직접 개발하고 마케팅, 기획, 코딩, 디자인, 교육 등 다양한 영역에서 활용하고 있는 저자가 GPT를 만들어 본 경험을 심층적으로 다루고 있는 책이다. 이 책은 어디에도 정리된 적 없는 GPT 아이디어 기획부터 출시까지의 과정, 더 똑똑한 GPT를 만들기 위한 효과적인 프롬프트 작성 팁과 GPT 기능 활용법, 차별화된 초격차 GPT를 만들기 위한 GPT 지식 및 API 활용법, 그리고 GPT를 마케팅하고 수익화하는 전략까지 집대성했다. 개발자가 아니어도, 복잡한 프로그래밍 지식이 없어도 저자가 만들어 국내에서 인기를 얻은 GPT를 직접 따라해 볼 수 있도록 구성했다. 이 책 한 권만 따라해도 시행착오 없이 인기 GPT 10개 이상을 만들어 보는 것은 물론, 상위 1%들의 GPT 만드는 최고의 노하우를 가장 쉬운 방법으로 배울 수 있다.",10,kyobo/book_img_011.jpg
12,"AGI, 인공일반지능의 이해(큰글자책)",Computer Science,이재성,2024.05.30,10%,"22,500원","정가25,000원","1,250p","인공일반지능이란 다양한 분야에 적용할 수 있는 인공지능이다. 이는 바둑의 알파고, 단백질 구조 예측의 알파폴드, 채팅의 챗GPT, 이미지 생성의 달리, 동영상 생성의 소라까지 인공지능마다 목표한 분야가 정해져 있고 그 목표 분야에서만 동작하는 인공협소지능과 구분된다. 지능 개념과 인공일반지능의 역사부터 인공일반지능이 만들어 갈 미래 시나리오까지 폭넓게 살핀다.",0.0,kyobo/book_img_012.jpg
13,AI 자율주행(큰글자책),Computer Science,안세진,2024.05.30,10%,"22,500원","정가25,000원","1,250p","자율주행 기술은 차량이 인간의 개입 없이 주변 환경을 인식하고 판단하며 안전하게 주행하는 기술을 말한다. 개발 초기 단계부터 교통사고 감소, 교통 혼잡 완화, 운송 비용 절감 등 여러 기대를 받았던 자율주행은 인공지능과 결합하며 상용화 가능성을 높이고 있다. 그러나 자율주행 자동차가 상용화되기 위해서는 아직 극복해야 할 기술적, 사회적, 법적 도전 과제가 남아 있다. 인공지능과 결합한 자율주행 기술의 핵심을 살피며 그 미래를 점쳐 본다.",0.0,kyobo/book_img_013.jpg
14,예약판매 AI가 훔쳐간 인문학,Computer Science,김철수,2024.06.05,10%,"14,400원","정가16,000원",800p,"인간이 인문학으로 세상을 이해했듯이, AI도 그 자신만의 인문학, 예를 들면 인공지능인문학 같은 것으로 세상을 이해하지 않을까? 그렇다면 이런 인공지능 시대에 사는 인간은 어떻게 살아야 할까? 어떻게 생각해야 할까? 어떤 존재가 돼야 할까? AI에 투영하여 인간을 이해하다 지난 수천 년간 인간이 신의 이름으로 답을 찾아왔다면 이제는 AI의 이름으로 답을 찾을 수 있지 않을까? AI가 어떻게 감정을 느끼고 생각하고 상상하고 자기 존재를 이해하는지를 보면서 인간을 더 잘 이해할 수 있지 않을까? 기술과 인문의 교차로에 서다 스티브 잡스가 말했다. “애플의 유전자를 구성하는 데는 단순히 기술만으로 충분하지 않습니다. 기술(Technology)이 인문학(Liberal Arts)과 만나면 비로소 우리의 심장이 뜁니다.” 그때 나도 조금 심장이 뛰었다. 그래서 이 책을 썼다.",0.0,kyobo/book_img_014.jpg
15,러닝 깃허브 액션,Computer Science,브렌트 래스터,2024.05.20,10%,"27,000원","정가30,000원","1,500p","깃허브 액션을 활용해 개발 시간을 단축하고 협업 효율을 높이세요! 오픈 소스 작가이자 트레이너, DevOps 디렉터인 저자가 완벽한 깃허브 사용법을 설명합니다. 액션과 워크플로가 무엇인지, 이를 프로세스에 통합해 개발 과정을 단순화, 표준화, 자동화하는 방법은 무엇인지 알아봅시다. 깃허브 액션으로 코드 유효성 검사부터 복잡한 배포 파이프라인까지 구현하세요. CI/CD를 처음 접하는 분부터 깃허브 액션 사용을 고민했던 개발자까지 프로젝트에 바로 적용할 수 있는 실무 중심의 내용을 담았습니다. 이제 깃허브 액션으로 개발 프로세스를 혁신하세요!",0.0,kyobo/book_img_015.jpg
16,AI 툴킷,Computer Science,김규태,2024.05.31,10%,"19,800원","정가22,000원","1,100p","챗GPT-4, GPTs, 미드저니부터 Musia One, Udio, Munute, VREW, Gamma까지 생성형 AI(인공지능) 실전 활용서 내 업무에 딱! 인공지능 트렌드를 익혀보고, 현재 가장 많이 사용하는 AI 툴을 카테고리별로 정리하여 알려줍니다. 업무 효율 향상을 위한 프롬프트 사용법부터 GPTS를 사용한 맞춤 챗봇까지 스마트한 직장인을 위한 인공지능 해결사가 되어 줍니다. 창업&마케팅도 단숨에! 정보 수집부터 기획, 제작, 검토 및 도출까지 AI를 활용한 다양한 작업을 체계적으로 알려줍니다. 스타트업을 위한 IR 피치텍 분석부터 광고 영상 제작, 콘텐츠 홍보까지 다양한 생성형 AI를 활용하여 시간과 비용을 절약할 수 있습니다. 누구나 즐기는 창작&취미 활동 실제 AI 툴이 필요한 사연을 제시하여 누구나 쉽게 상황에 맞게 응용하여 쓸 수 있도록 이해를 돕습니다. 동화 스토리텔링 및 삽화 제작, 동화책 출력부터 작사와 작곡, 음원 녹음 및 인공지능으로 마스터링까지 창작 활동을 즐길 수 있습니다. 생성형 AI(인공지능) 지도 제공 생성형 AI 툴을 사용 목적에 맞게 분류하여 소개합니다. 지식 검색, 이미지와 비디오 생성 및 편집, 음악 생성, 생산성 도구, 음성 기술, 교육, 엔터테인먼트 등 사용 목적에 따라 AI 툴을 분류하여 사용자가 언제 어디서나 쉽게 찾아 쓸 수 있도록 Gen AI Map을 제공합니다..",10,kyobo/book_img_016.jpg
17,GenAI: 생성 인공지능의 이해와 활용,Computer Science,김환,2024.05.21,10%,"17,100원","정가19,000원",950p,"생성형 AI의 세계, 한 권의 책으로 떠나는 흥미진진한 여정! 최근 몇 년 사이 생성형 AI 기술은 비약적인 발전을 이루었다. 챗GPT를 시작으로 불어온 생성형 AI의 열풍은 여전히 상승세를 이어가고 있다. 이른바 AI의 시대라고 해도 과언이 아니다. 그러나 일반인들도 AI 기술을 손쉽게 접할 수 있는 단계에 이른 지금도, 정작 생성형 AI의 정의와 활용법에 대하여 명확하게 아는 이는 드물다. 사람보다 더 빠르게 글을 써내고, 명령어 몇 번으로 근사한 그림을 그려내는 AI의 능력에 환호하는 동시에 기술이 불러올 변화에 대한 고민과 그 대응은 여전히 미진하기만 하다. 저자는 1부에서 ‘생성형 AI의 기초’를 다루며 개념을 잡고, 2부에서는 ‘생성형 AI 활용’에 있어 그 실제 사례와 활용법에 대하여 설명한다. 마지막으로 3부에서는 성큼 다가온 AI의 시대를 준비하는 법에 대해 이야기한다. 독자가 그 누구라도 AI의 세계에 흥미를 갖고, 시대의 흐름 앞에서 기술에 떠밀리는 대신 유용하게 활용할 수 있도록 전문적인 용어나 수식 대신 사례와 설명 중심으로 내용을 구성했다. 이 책은 독자들에게 생성형 AI 세계의 입문서로써 기술의 발전 방향과 바람직한 활용 방안에 대해 함께 고민할 수 있게 도와줄 뿐만 아니라, AI 시대를 살아가는 이들이 변화의 급류 앞에서 새로운 지평을 향해 두려움 없이 나아갈 수 있도록 길라잡이가 되어 줄 것이다.",0.0,kyobo/book_img_017.jpg
18,예약판매 QA 편,Computer Science,남효진,2024.05.28,10%,"28,800원","정가32,000원","1,600p","소프트웨어 테스터로 성공적인 안착을 위해 노력하는 이들에게 이 책은 4주 동안 총 6개의 강의로 소프트웨어 테스트의 시작부터 종료 선언까지 모든 과정을 다루고 있습니다. 테스터로서 갖춰야 할 역량은 물론이고 테스트 단계에 따라 안내합 소프트웨어 품질 보증의 기본 개념부터 최신 기법, 문서 작성 방법까지 체계적으로 안내합니다. 또, 소프트웨어 생명주기 전체를 시각적으로 확인하면서 순서대로 진행할 수 있도록 로드맵을 제공합니다. QA로 취업하려는 취준생, 직무 전환을 고민하는 입문자, 역량 개발이 필요한 주니어까지 모두에게 유용한 가이드가 될 것입니다. 제로베이스에서 취업까지, 부트캠프 ‘부트캠프’ 시리즈는 취업, 이직 또는 직무 능력 향상을 필요로 하는 이들을 위한 가이드입니다. 실무 경험 또는 강의 경험이 풍부한 업계 선배들의 로드맵을 따라 취업부터 역량 개발까지 함께하세요.",0.0,kyobo/book_img_018.jpg
19,예약판매 최고의 프로덕트는 무엇이 다른가,Computer Science,유진호,2024.05.31,10%,"14,850원","정가16,500원",820p,"소프트웨어나 서비스를 개발할 때 기획서만 잘 쓰면 실패하지 않고 제품이 나올 수 있을까요? 수많은 책이 나왔고 방법론도 많이 있지만 여전히 어려운 문제들이 많습니다. 이 책은 단순한 방법론을 넘어 초기 기획부터 개발 과정까지 사람들과 어떻게 일해야 하는지, 조직구조는 어떻게 개선하는지에 대해 구체적으로 설명합니다.",0.0,kyobo/book_img_019.jpg
20,예약판매 챗GPT와 랭체인을 활용한 LLM 기반 AI 앱 개발,Computer Science,요시다 신고 외,2024.06.05,10%,"24,300원","정가27,000원","1,350p","이 책은 챗GPT와 랭체인 프레임워크를 이용해 대규모 언어 모델(LLM)을 실제로 사용할 수 있는 수준의 애플리케이션에 통합하는 방법을 단계별 실습을 통해 알려줍니다. OpenAI API와 랭체인의 기본 개념부터 웹 애플리케이션과 슬랙 앱 구현, 그리고 프로덕션 환경에 배포하기까지 실전 사례를 중심으로 LLM 애플리케이션 개발의 전 과정을 익힐 수 있습니다. 또한 벡터 데이터베이스, 서버리스 아키텍처 등 최신 기술의 활용법과 보안, 개인정보보호 등 실무에 필요한 노하우도 배울 수 있습니다. 이 책을 통해 여러분도 LLM의 무한한 잠재력을 현실에 적용할 수 있는 개발자로 한 걸음 더 나아갈 수 있을 것입니다. ★ 이 책에서 다루는 내용 ★ ◎ 챗GPT API와 랭체인 프레임워크의 기본 개념과 사용법 ◎ 프롬프트 엔지니어링 기법으로 LLM의 성능 끌어올리기 ◎ 외부 검색과 대화 기록을 활용한 웹 애플리케이션 개발 ◎ 스트리밍 응답과 슬랙 앱 통합으로 실용성 높은 챗봇 구현 ◎ 벡터 데이터베이스와 검색으로 자체 데이터에 기반한 질의응답 시스템 구축 ◎ AWS 람다와 서버리스 프레임워크를 활용한 프로덕션 환경 배포 ◎ LLM 애플리케이션의 테스트와 평가 및 보안 대책",0.0,kyobo/book_img_020.jpg
21,컴퓨터 구조와 운영체제 핵심 노트,Computer Science,서지영,2024.05.30,10%,"22,500원","정가25,000원","1,250p","IT 분야 입문이나 취업을 위해 빠르게 핵심 내용을 익혀야 하거나, 기사/기술사 시험에 대비해 정리가 필요하거나, IT 분야 취업 후 컴퓨터/운영체제 지식이 필요하거나, 컴퓨터 원리를 이해하여 더 나은 개발자가 되려고 한다면! 방대한 분량의 전공지식을 공부하기가 어렵다면! 예전에 배워서 다시 보면 쉬울 줄 알았는데 의외로 어렵고 헷갈린다면! 이 책은 20년 넘게 IT 분야에서 일하고 있는 저자가 기술사 시험을 준비하며 직접 정리한 핵심 노트다. 컴퓨터 구조와 운영체제의 기본기를 핵심 위주로 간결하게 복습할 수 있고, 각각의 개념과 동작 원리는 물론 둘의 연계 동작까지 아우를 수 있게 정리했다. 눈에 보이지 않는 개념과 원리를 그림으로 이해해 개념을 이미지로 떠올리게 구성하고, 그림 외에도 설명을 보충하고 쉽게 정리할 수 있도록 예시, 코드, 표 등을 적극 활용했다. 또한 학습 이해도를 측정할 수 있도록 챕터마다 핵심 요약과 확인 문제를 준비했다. 컴퓨터 구조와 운영체제, 이 책으로 필요한 핵심만 모아서 배우자!",0.0,kyobo/book_img_021.jpg
22,인공지능 사회문화학,Computer Science,박평종 외,2024.05.31,10%,"18,900원","정가21,000원","1,050p","인공지능은 ‘불현듯’ 출현했다 해도 과언이 아니다. 2016년 저 유명한 ‘알파고’가 세간의 관심을 끈 이후 모두가 주목하는 ‘놀라운’ 기술이 됐다. 그리고 채 10년도 지나지 않아 우리의 삶은 인공지능 이전과 이후로 나뉠 만큼 큰 폭의 변화를 맞고 있다. 실상 거의 모든 영역에서 인공지능이 인간을 대신하기 시작했고, 그 과정에서 인간은 어떻게 대응해야 할지 허둥대고 있다. 한편에서는 인공지능의 무한한 가능성에 환호를 보내지만, 다른 한편에서는 부정적 파급력에 제동을 걸어야 하며 나아가 기술개발을 중지해야 한다는 급진적인 견해를 내놓기도 한다. 그러나 베냐민이 언급했듯 기술이 실제 인간의 삶에 무사히 안착하는 데에는 여러 조건이 필요하다. 당장은 유용하지만 급하게 수용한 기술이 인간의 삶과 조화를 이룰지는 시간을 두고 지켜봐야 할 것이다. 이 책은 이런 맥락에서 인공지능이 인간의 삶에 들어온 이후 어떤 실질적인 변화를 만들어 내고 있는지 진단한다. 자율주행차로 대표되는 기술문화, 대중문화, 예술 및 시각문화의 세 영역에서 펼쳐지고 있는 변화의 양상을 현시점에서 꼼꼼히 검토함으로써 오늘의 현실을 직시하고, 그 긍정성과 부정성을 종합적으로 성찰해 보기를 제안한다. 나아가 작금의 현실에서 향후 가까운 미래에 또 다른 어떤 변화가 몰려올 것인지 가늠할 수 있는 계기를 마련하고자 한다.",0.0,kyobo/book_img_022.jpg
